core_intent,anger,sadness,frustration,satisfaction,joy,security_threat,financial_loss,urgent_action
My credit card is stolen. Please block it immediately as I see unauthorized charges on my statement.,0.8,0.4,0.9,0.1,0,1,0.9,1
I am shifting to a new house next month. I need to update my mailing address for my credit card records ASAP.,0.1,0,0.2,0.8,0.1,0,0,0.3
Someone hacked into my bank account and transferred all my funds. My balance is now zero and I didn't authorize this.,0.9,0.7,0.9,0.1,0,1,1,1
You charged me an overdraft fee even though my funds were sufficient. This is a mistake and I want a refund of the interest.,0.8,0.1,0.9,0.1,0,0.1,0.3,0.5
I have been trying to reach customer service for 3 hours regarding my loan payoff. No one is picking up the phone.,0.9,0.2,1,0,0,0,0.1,0.4
I received a debt collection notice for a loan I never took out. I believe I am a victim of identity theft.,0.6,0.5,0.8,0.2,0,0.9,0.6,0.9
The ATM did not dispense my cash but the amount was still deducted from my savings account. Please fix this error.,0.7,0.3,0.9,0.1,0,0.2,0.8,0.9
I would like to close my credit card account because I am unhappy with the high annual fees and interest rates.,0.5,0.1,0.6,0.4,0,0,0.1,0.3
My mortgage application is being delayed and I am worried I will lose the house I am trying to buy.,0.5,0.8,0.9,0.1,0,0.1,0.8,0.8
Thank you for the quick resolution regarding my billing dispute. I am very satisfied with the customer service I received.,0,0,0,1,0.8,0,0,0.1
I am struggling to make my vehicle loan payments this month due to a medical emergency. Can I get a payment extension?,0.2,0.9,0.7,0.3,0,0,0.5,0.6
There is incorrect information on my credit report. I never missed a payment but it shows a late status.,0.7,0.3,0.8,0.2,0,0.3,0.4,0.7
I am receiving constant harassing calls from your debt collectors at 10 PM. This is a violation of my privacy.,1,0.4,0.9,0.1,0,0.4,0.1,0.6
I lost my physical checkbook and I am worried someone might try to forge my signature and withdraw money.,0.3,0.5,0.7,0.3,0,0.9,0.7,1
I was approved for a personal loan but the money was not available when promised. I need these funds for my business.,0.7,0.4,0.9,0.1,0,0.1,0.8,0.8
My vehicle was repossessed even though I made the payment last week. This is an illegal action and I want my car back.,1,0.7,1,0,0,0.5,1,1
I am having trouble accessing my funds in my digital wallet. The app keeps crashing and I cannot pay for my groceries.,0.8,0.3,1,0,0,0.2,0.4,0.9
I received a credit card in the mail that I never applied for. This is unsolicited and I am worried about fraud.,0.5,0.2,0.6,0.4,0,0.9,0.3,0.8
I am trying to close my mortgage but the payoff process is confusing and the disclosures are missing information.,0.4,0.2,0.8,0.2,0,0.1,0.4,0.6
